"","year","grade","cumulative_gpa","term","gpa"
"3064","2020",7,"0.7735","2",0.833
"3065","2020",6,"3.9285","1",3.857
"3066","2020",6,"3.9285","2",4
"3067","2020",7,"2.357","1",2.143
"3068","2020",7,"2.357","2",2.571
"3069","2020",6,"2.143","1",2.143
"3070","2020",6,"2.143","2",2.143
"3071","2020",8,"1.286","1",1.286
"3072","2020",8,"1.286","2",1.286
"3073","2020",8,"2.143","1",2
"3074","2020",8,"2.143","2",2.286
"3075","2020",7,"0.9285","1",0.857
"3076","2020",7,"0.9285","2",1
"3077","2020",8,"3.643","1",3.286
"3078","2020",8,"3.643","2",4
"3079","2020",7,"3.9285","1",3.857
"3080","2020",7,"3.9285","2",4
"3081","2020",8,"3.393","1",3.5
"3082","2020",8,"3.393","2",3.286
"3083","2020",8,"0.3715","1",0.143
"3084","2020",8,"0.3715","2",0.6
"3085","2020",8,"0.286","1",0.429
"3086","2020",8,"0.286","2",0.143
"3087","2020",8,"1.5","1",1
"3088","2020",8,"1.5","2",2
"3089","2020",6,"3.5","1",3.429
"3090","2020",6,"3.5","2",3.571
"3091","2020",6,"2.571","1",2.571
"3092","2020",6,"2.571","2",2.571
"3093","2020",7,"1.9285","1",1.857
"3094","2020",7,"1.9285","2",2
"3095","2020",6,"0.762","1",0.667
"3096","2020",6,"0.762","2",0.857
"3097","2020",8,"2.429","1",2.429
"3098","2020",8,"2.429","2",2.429
"3099","2020",7,"3.9285","1",3.857
"3100","2020",7,"3.9285","2",4
"3101","2020",8,"1.9285","1",2
"3102","2020",8,"1.9285","2",1.857
"3103","2020",7,"2.357","1",2.571
"3104","2020",7,"2.357","2",2.143
"3105","2020",6,"2","1",2
"3106","2020",6,"2","2",2
"3107","2020",8,"2","1",2.429
"3108","2020",8,"2","2",1.571
"3109","2020",8,"2","1",1.571
"3110","2020",8,"2","2",2.429
"3111","2020",7,"1.143","1",1
"3112","2020",7,"1.143","2",1.286
"3113","2020",8,"1.9285","1",1.714
"3114","2020",8,"1.9285","2",2.143
"3115","2020",6,"3.2145","1",3.286
"3116","2020",6,"3.2145","2",3.143
"3117","2020",7,"4","1",4
"3118","2020",7,"4","2",4
"3119","2020",6,"2.7855","1",2.857
"3120","2020",6,"2.7855","2",2.714
"3121","2020",8,"3.845","1",3.833
"3122","2020",8,"3.845","2",3.857
"3123","2020",7,"3.452","1",3.333
"3124","2020",7,"3.452","2",3.571
"3125","2020",7,"3.714","1",3.714
"3126","2020",7,"3.714","2",3.714
"3127","2020",7,"2.2145","1",2
"3128","2020",7,"2.2145","2",2.429
"3129","2020",7,"0.557","1",0.714
"3130","2020",7,"0.557","2",0.4
"3131","2020",6,"3.143","1",3.143
"3132","2020",6,"3.143","2",3.143
"3133","2020",6,"1.0715","1",1.286
"3134","2020",6,"1.0715","2",0.857
"3135","2020",6,"0.571","1",0.571
"3136","2020",6,"0.571","2",0.571
"3137","2020",8,"1.857","1",2.143
"3138","2020",8,"1.857","2",1.571
"3139","2020",6,"3.3575","1",3.429
"3140","2020",6,"3.3575","2",3.286
"3141","2020",7,"4","1",4
"3142","2020",7,"4","2",4
"3143","2020",7,"2.7145","1",3
"3144","2020",7,"2.7145","2",2.429
"3145","2020",6,"3.5","1",3.429
"3146","2020",6,"3.5","2",3.571
"3147","2020",7,"2.357","1",2.571
"3148","2020",7,"2.357","2",2.143
"3149","2020",6,"1.9285","1",2.143
"3150","2020",6,"1.9285","2",1.714
"3151","2020",6,"2.0715","1",2.143
"3152","2020",6,"2.0715","2",2
"3153","2020",7,"2.1425","1",2.571
"3154","2020",7,"2.1425","2",1.714
"3155","2020",7,"1.2145","1",1
"3156","2020",7,"1.2145","2",1.429
"3157","2020",7,"2.7855","1",2.857
"3158","2020",7,"2.7855","2",2.714
"3159","2020",7,"1.357","1",1
"3160","2020",7,"1.357","2",1.714
"3161","2020",7,"4","1",4
"3162","2020",7,"4","2",4
"3163","2020",6,"2.357","1",3
"3164","2020",6,"2.357","2",1.714
"3165","2020",8,"2.857","1",3
"3166","2020",8,"2.857","2",2.714
"3167","2020",8,"2","1",2.286
"3168","2020",8,"2","2",1.714
"3169","2020",7,"3.357","1",3.857
"3170","2020",7,"3.357","2",2.857
"3171","2020",8,"1.0595","1",0.833
"3172","2020",8,"1.0595","2",1.286
"3173","2020",7,"3","1",3
"3174","2020",7,"3","2",3
"3175","2020",6,"2.643","1",2.857
"3176","2020",6,"2.643","2",2.429
"3177","2020",7,"1.357","1",1.714
"3178","2020",7,"1.357","2",1
"3179","2020",6,"1.452","1",1.571
"3180","2020",6,"1.452","2",1.333
"3181","2020",6,"1.143","1",1.429
"3182","2020",6,"1.143","2",0.857
"3183","2020",7,"3.9285","1",3.857
"3184","2020",7,"3.9285","2",4
"3185","2020",7,"1.012","1",1.167
"3186","2020",7,"1.012","2",0.857
"3187","2020",6,"2.0715","1",2.429
"3188","2020",6,"2.0715","2",1.714
"3189","2020",8,"0.143","1",0
"3190","2020",8,"0.143","2",0.286
"3191","2020",7,"3.3575","1",3.286
"3192","2020",7,"3.3575","2",3.429
"3193","2020",8,"2.5715","1",2.714
"3194","2020",8,"2.5715","2",2.429
"3195","2020",8,"2.4285","1",2.286
"3196","2020",8,"2.4285","2",2.571
"3197","2020",6,"3.857","1",3.857
"3198","2020",6,"3.857","2",3.857
"3199","2020",7,"3.571","1",3.571
"3200","2020",7,"3.571","2",3.571
"3201","2020",6,"2.714","1",2.857
"3202","2020",6,"2.714","2",2.571
"3203","2020",6,"0.75","1",0
"3204","2020",6,"0.75","2",1.5
"3205","2020",7,"2.631","1",2.833
"3206","2020",7,"2.631","2",2.429
"3207","2020",7,"1.7145","1",2.143
"3208","2020",7,"1.7145","2",1.286
"3209","2020",7,"3.643","1",3.429
"3210","2020",7,"3.643","2",3.857
"3211","2020",6,"3","1",2.857
"3212","2020",6,"3","2",3.143
"3213","2020",8,"1.857","1",1.857
"3214","2020",8,"1.857","2",1.857
"3215","2020",6,"1.286","1",1.429
"3216","2020",6,"1.286","2",1.143
"3217","2020",8,"2.9285","1",3
"3218","2020",8,"2.9285","2",2.857
"3219","2020",6,"1.5","1",1.857
"3220","2020",6,"1.5","2",1.143
"3221","2020",6,"3.4285","1",3.714
"3222","2020",6,"3.4285","2",3.143
"3223","2020",6,"1.714","1",1.571
"3224","2020",6,"1.714","2",1.857
"3225","2020",7,"1.5355","1",1.5
"3226","2020",7,"1.5355","2",1.571
"3227","2020",8,"3.143","1",3.429
"3228","2020",8,"3.143","2",2.857
"3229","2020",8,"2.357","1",2
"3230","2020",8,"2.357","2",2.714
"3231","2020",7,"1.857","1",2.143
"3232","2020",7,"1.857","2",1.571
"3233","2020",7,"0.9285","1",0.857
